id,date,username,tweet
1257725347119788033,2020-05-06,rzkrniaa,ko km gt:(
1257725346847186947,2020-05-06,irmaehandayani_,Waktu indonesia bagian overthinking :f
1257725346314547205,2020-05-06,liziedizzy,efek mau dapet huh kmrn w juga gitu ndoy
1257725346222243841,2020-05-06,awwwgurlz,Ampun
1257725346100637696,2020-05-06,seokminam,Btw aku dapet ads ultah baekkie pic.twitter.com/hyVaEYny5l
1257725346012520448,2020-05-06,eggy_aurora,Kentang goreng enakan tuh
1257725345819693056,2020-05-06,zaraaaff,"Jajanan sd apa yg kalian kangenin?
Aku : crepes, bakpau, martabak mini, cilung, basreng  dan banyakk lagii — ess kueee tau ga si yg ke pelangi itu enak pake bgt:((( https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM72JSPLASSDZ6LCMPJ646V45V2Q24OJAMGBFM4QZVK2ZPQHQEIBSTQXQVYYU5Y25CPT22BFDJUUBCVESVANYDGGPDAWRDKOXMV2TO7HLFTGUZ4FRUYCCHHDU7JSPRSTLC6HZCTIW32TGFPUDHRSX2C36HB5XTDR7R3NA6HW5734IZMFCHUFYNRDDLDUUUKMNRFQ====== …"
1257725345769197569,2020-05-06,yesiscatcs,Makasih tok
1257725345718874112,2020-05-06,sharaazh_,Sharaazh bkn sakura:(
1257725345270136832,2020-05-06,isham_afiqi,"Hehe, bisa aja"
1257725344854896642,2020-05-06,kyaraunyu,yaallah🤧🤧 pic.twitter.com/y37CYcYDrT
1257725344800481292,2020-05-06,nenggalasurya,"Buruknya Fungsi Pengawasan DPRD, Menuai Impresi Skandal KONI 2015 Kabupaten Blitar  https://suryanenggala.com/buruknya-fungsi-pengawasan-dprd-menuai-impresi-skandal-koni-2015-kabupaten-blitar/ …"
1257725344737443842,2020-05-06,aliya_sandrina,Tidur woy malah melek dia😘
1257725344691351552,2020-05-06,fedosl_,"HAAAAA SAMA BANGET PEB, i feel u, kaya gaguna gt gua ngomong selama ini :("
1257725344582418439,2020-05-06,miftasror17,"Belajar 2 jam, main game 4 jam, hidup memang harus seimbang 👌"
1257725344582234112,2020-05-06,qikmala,Kesuwun nggeh mas
1257725344481603587,2020-05-06,wie19513813,"💞Expo Magelang yuk di keep slot nya kak buat si manja😘😘
💕Info RR 💌
💞🏨include (terima exclude )
💞Wajib dp 🏧
#kimcilmagelang
#openbomagelang
#magelanglendir
#availmagelang
#bisyarmagelang
#bispakmagelang
#angelmagelang
#magelangincluderoom
#wisatalendirmagelang pic.twitter.com/N21SeoRKjQ"
1257725344313794562,2020-05-06,putrianda_dea,"baru satu pack collagen asta nya.. 😄 alhamdulillah.. kok kening jadi ngelebarin yg putih nya?! mau diputihin kali, biar kayak jepang china korea.. 😂 iya, minta ditinggiin minimal jadi 153an.. 😇 pengen aja lebih tinggian,.. ga tau tapi nya.. pic.twitter.com/6tTJ7eEVVZ"
1257725344024391681,2020-05-06,luuthfii_,"Assalamualaikum..
Aing meunang ngababuk sia sakali??!!"
1257725344003452928,2020-05-06,ariessss07,"Cuma yang ini gua minta tolongg sebelum nya juga gapernah, minta tolong juga karna apa yang gua punya udh di pinjem yang gatau kapan di balikin nya."
1257725343349104640,2020-05-06,nurpitriand,Benarkan saya mas
1257725343189745665,2020-05-06,nandarisyantii,"suka nih, gak basa basi.."
1257725343181357056,2020-05-06,hanaaauy,Blm tehhh hayuu teh up lagii huhuuu
1257725343118454784,2020-05-06,jeyheyop,akhirnya sapu ku bisa kapel ama sapu bangtan:')
1257725343101620225,2020-05-06,masyogiiii,Emangnya dh nemu?
1257725342975848448,2020-05-06,dayahnazree,jangan kacau cubemate saya la 😔
1257725342963208200,2020-05-06,wndxaa,Astagfirullah mba mba hijapan pic.twitter.com/D1ei1QyAIn
1257725342778703877,2020-05-06,syifaniiiii,Disuruh maju kedepan bareng doi buat dikerjain krn kakak OSIS tahu kalau kita pacaran
1257725342745128960,2020-05-06,imranns_,Laptopku kyk gini jga🥺
1257725342711595008,2020-05-06,uq_fanta,Aduh bikin pusing
1257725342564749312,2020-05-06,mysticalvaro,Wkwk jgn galauu
1257725342497648647,2020-05-06,syngnyaamu,Bobok yuk a
1257725342455697413,2020-05-06,amandeyyy,Bobok ceu nnti saur
1257725342011109376,2020-05-06,esyaainiain,Bagus bujibu nie..buah hati merajuk pun dia pujuk..😌😌
1257725341973405696,2020-05-06,momouww,tdr cngtip kesehatanmu ituloo
1257725341935665152,2020-05-06,waaannngggg,"Harusnya bersyukur sih telah disadarkan dari kebodohan selama beberapa tahun kebelakang, terima kasih dan mohon maaf sudah saya black list ya kali ini sungguh-sungguh"
1257725341616861184,2020-05-06,maesiiii,"""Menolong dengan cara menutupi sebuah kebohongan sama saja dengan melakukan kebohongan itu sendiri"""
1257725341566513152,2020-05-06,amalineqistina,"Tepat sekali untuk i, hari hari masak sampai jemu nak demam dengan masakan sendiri 🥴 https://twitter.com/sitiawe_/status/1257645766543388672 …"
1257725341491027968,2020-05-06,marshal______,"3th, putus move on seminggu. kelar"
1257725341465849856,2020-05-06,korbanmuyang,Owalah gitu. Terimakasih jawabannya akhirnya saya bs tdr nyenyak skrng :)
1257725341373612032,2020-05-06,rixkytogars,Badjingann wkwkwkw aku elek penting seng tak kentu okeh😂 https://twitter.com/bpratamasaputra/status/1201037752688472065 …
